Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE105217	TFDP1	eGFP-TFDP1	-	-	-	GSE105217_eGFP-TFDP1	GSE105217_TFDP1
GSE105218	FOXA2	FOXA2	-	-	-	GSE105218_FOXA2	GSE105218_FOXA2
GSE105221	POLR2A	POLR2A	-	-	-	GSE105221_POLR2A	GSE105221_POLR2A
GSE105222	CTCF	CTCF	-	-	-	GSE105222_CTCF	GSE105222_CTCF
GSE105224	ZNF579	ZNF579	-	-	-	GSE105224_ZNF579	GSE105224_ZNF579
GSE105225	ZNF24	ZNF24	-	-	-	GSE105225_ZNF24	GSE105225_ZNF24
GSE105227	CTCF	CTCF	-	-	-	GSE105227_CTCF	GSE105227_CTCF
GSE105228	ZNF10	eGFP-ZNF10	-	-	-	GSE105228_eGFP-ZNF10	GSE105228_ZNF10
GSE105231	ZIK1	eGFP-ZIK1	-	-	-	GSE105231_eGFP-ZIK1	GSE105231_ZIK1
GSE105233	ZNF280C	eGFP-ZNF280C	-	-	-	GSE105233_eGFP-ZNF280C	GSE105233_ZNF280C
GSE105237	FOXA2	FOXA2	-	-	-	GSE105237_FOXA2	GSE105237_FOXA2
GSE105242	EP300	EP300	-	-	-	GSE105242_EP300	GSE105242_EP300
GSE105243	EGR1	EGR1	-	-	-	GSE105243_EGR1	GSE105243_EGR1
GSE105244	CTCF	CTCF	-	-	-	GSE105244_CTCF	GSE105244_CTCF
GSE105245	POLR2A	POLR2A	-	-	-	GSE105245_POLR2A	GSE105245_POLR2A
GSE105246	POLR2A	POLR2A	-	-	-	GSE105246_POLR2A	GSE105246_POLR2A
GSE105249	CEBPG	eGFP-CEBPG	-	-	-	GSE105249_eGFP-CEBPG	GSE105249_CEBPG
GSE105250	CTCF	CTCF	-	-	-	GSE105250_CTCF	GSE105250_CTCF
GSE105252	ZNF311	eGFP-ZNF311	-	-	-	GSE105252_eGFP-ZNF311	GSE105252_ZNF311
GSE105255	ZFX	ZFX	-	-	-	GSE105255_ZFX	GSE105255_ZFX
GSE105259	ZNF26	eGFP-ZNF26	-	-	-	GSE105259_eGFP-ZNF26	GSE105259_ZNF26
GSE105263	CTCF	CTCF	-	-	-	GSE105263_CTCF	GSE105263_CTCF
GSE105265	ARNT	ARNT	-	-	-	GSE105265_ARNT	GSE105265_ARNT
GSE105268	FOXP1	FOXP1	-	-	-	GSE105268_FOXP1	GSE105268_FOXP1
GSE105270	CTCF	CTCF	-	-	-	GSE105270_CTCF	GSE105270_CTCF
GSE105271	POLR2A	POLR2A	-	-	-	GSE105271_POLR2A	GSE105271_POLR2A
GSE105272	POLR2A	POLR2A	-	-	-	GSE105272_POLR2A	GSE105272_POLR2A
GSE105274	ZNF316	ZNF316	-	-	-	GSE105274_ZNF316	GSE105274_ZNF316
GSE105277	POLR2A	POLR2A	-	-	-	GSE105277_POLR2A	GSE105277_POLR2A
GSE105280	POLR2AphosphoS5	POLR2AphosphoS5	-	-	-	GSE105280_POLR2AphosphoS5	GSE105280_POLR2AphosphoS5
GSE105281	POLR2A	POLR2A	-	-	-	GSE105281_POLR2A	GSE105281_POLR2A
GSE105284	CTCF	CTCF	-	-	-	GSE105284_CTCF	GSE105284_CTCF
GSE105285	CTBP1	CTBP1	-	-	-	GSE105285_CTBP1	GSE105285_CTBP1
GSE105286	GABPA	eGFP-GABPA	-	-	-	GSE105286_eGFP-GABPA	GSE105286_GABPa
GSE105287	HES1	HES1	-	-	-	GSE105287_HES1	GSE105287_HES1
GSE105289	KDM1A	KDM1A	-	-	-	GSE105289_KDM1A	GSE105289_KDM1A
GSE105291	CSDE1	CSDE1	-	-	-	GSE105291_CSDE1	GSE105291_CSDE1
GSE105292	EP300	EP300	-	-	-	GSE105292_EP300	GSE105292_EP300
GSE105295	CTCF	CTCF	-	-	-	GSE105295_CTCF	GSE105295_CTCF
GSE105296	PHF21A	PHF21A	-	-	-	GSE105296_PHF21A	GSE105296_PHF21A
GSE105298	POLR2A	POLR2A	-	-	-	GSE105298_POLR2A	GSE105298_POLR2A
GSE105299	POLR2A	POLR2A	-	-	-	GSE105299_POLR2A	GSE105299_POLR2A
GSE105300	FOS	FOS	-	-	-	GSE105300_FOS	GSE105300_FOS
GSE105301	KLF9	eGFP-KLF9	-	-	-	GSE105301_eGFP-KLF9	GSE105301_KLF9
GSE105305	FOXA1	FOXA1	-	-	-	GSE105305_FOXA1	GSE105305_FOXA1
GSE105306	SNRNP70	SNRNP70	-	-	-	GSE105306_SNRNP70	GSE105306_SNRNP70
GSE105308	POLR2A	POLR2A	-	-	-	GSE105308_POLR2A	GSE105308_POLR2A
GSE105311	ZSCAN4	eGFP-ZSCAN4	-	-	-	GSE105311_eGFP-ZSCAN4	GSE105311_ZSCAN4
GSE105312	ZNF132	eGFP-ZNF132	-	-	-	GSE105312_eGFP-ZNF132	GSE105312_ZNF132
GSE105315	POLR2A	POLR2A	-	-	-	GSE105315_POLR2A	GSE105315_POLR2A
GSE105316	EGR1	EGR1	-	-	-	GSE105316_EGR1	GSE105316_EGR1
GSE105320	ZC3H8	ZC3H8	-	-	-	GSE105320_ZC3H8	GSE105320_ZC3H8
GSE105322	ZNF697	eGFP-ZNF697	-	-	-	GSE105322_eGFP-ZNF697	GSE105322_ZNF697
GSE105323	NFRKB	NFRKB	-	-	-	GSE105323_NFRKB	GSE105323_NFRKB
GSE105325	POLR2A	POLR2A	-	-	-	GSE105325_POLR2A	GSE105325_POLR2A
GSE105326	EP300	EP300	-	-	-	GSE105326_EP300	GSE105326_EP300
GSE105327	ZNF584	eGFP-ZNF584	-	-	-	GSE105327_eGFP-ZNF584	GSE105327_ZNF584
GSE105330	POLR2A	POLR2A	-	-	-	GSE105330_POLR2A	GSE105330_POLR2A
GSE105331	POLR2A	POLR2A	-	-	-	GSE105331_POLR2A	GSE105331_POLR2A
GSE105333	EP300	EP300	-	-	-	GSE105333_EP300	GSE105333_EP300
GSE105335	ZFX	ZFX	-	-	-	GSE105335_ZFX	GSE105335_ZFX
GSE105336	GATAD2A	GATAD2A	-	-	-	GSE105336_GATAD2A	GSE105336_GATAD2A
GSE105338	SRSF7	SRSF7	-	-	-	GSE105338_SRSF7	GSE105338_SRSF7
GSE105339	CTCF	CTCF	-	-	-	GSE105339_CTCF	GSE105339_CTCF
GSE105340	MYBL2	MYBL2	-	-	-	GSE105340_MYBL2	GSE105340_MYBL2
GSE105342	BRCA1	BRCA1	-	-	-	GSE105342_BRCA1	GSE105342_BRCA1
GSE105344	ZNF544	eGFP-ZNF544	-	-	-	GSE105344_eGFP-ZNF544	GSE105344_ZNF544
GSE105345	NCOA6	NCOA6	-	-	-	GSE105345_NCOA6	GSE105345_NCOA6
GSE105347	ZNF426	eGFP-ZNF426	-	-	-	GSE105347_eGFP-ZNF426	GSE105347_ZNF426
GSE105348	POLR2AphosphoS5	POLR2AphosphoS5	-	-	-	GSE105348_POLR2AphosphoS5	GSE105348_POLR2AphosphoS5
GSE105350	CTCF	CTCF	-	-	-	GSE105350_CTCF	GSE105350_CTCF
GSE105353	E2F7	E2F7	-	-	-	GSE105353_E2F7	GSE105353_E2F7
GSE105354	EP300	EP300	-	-	-	GSE105354_EP300	GSE105354_EP300
GSE105355	CTCF	CTCF	-	-	-	GSE105355_CTCF	GSE105355_CTCF
GSE105356	COPS2	COPS2	-	-	-	GSE105356_COPS2	GSE105356_COPS2
GSE105357	ZBTB26	eGFP-ZBTB26	-	-	-	GSE105357_eGFP-ZBTB26	GSE105357_ZBTB26
GSE105358	ZNF592	ZNF592	-	-	-	GSE105358_ZNF592	GSE105358_ZNF592
GSE105359	EP300	EP300	-	-	-	GSE105359_EP300	GSE105359_EP300
GSE105361	ZBTB2	ZBTB2	-	-	-	GSE105361_ZBTB2	GSE105361_ZBTB2
GSE105362	NR2C1	eGFP-NR2C1	-	-	-	GSE105362_eGFP-NR2C1	GSE105362_NR2C1
GSE105363	CUX1	eGFP-CUX1	-	-	-	GSE105363_eGFP-CUX1	GSE105363_CUX1
GSE105364	ZNF670	eGFP-ZNF670	-	-	-	GSE105364_eGFP-ZNF670	GSE105364_ZNF670
GSE105365	CTCF	CTCF	-	-	-	GSE105365_CTCF	GSE105365_CTCF
GSE105368	ZNF274	eGFP-ZNF274	-	-	-	GSE105368_eGFP-ZNF274	GSE105368_ZNF274
GSE105369	ZNF3	FLAG-ZNF3	-	-	-	GSE105369_FLAG-ZNF3	GSE105369_ZNF3
GSE105370	HNRNPUL1	HNRNPUL1	-	-	-	GSE105370_HNRNPUL1	GSE105370_HNRNPUL1
GSE105372	CTCF	CTCF	-	-	-	GSE105372_CTCF	GSE105372_CTCF
GSE105374	TBX3	TBX3	-	-	-	GSE105374_TBX3	GSE105374_TBX3
GSE105376	TCF12	TCF12	-	-	-	GSE105376_TCF12	GSE105376_TCF12
GSE105378	FOSL1	eGFP-FOSL1	-	-	-	GSE105378_eGFP-FOSL1	GSE105378_FOSL1
GSE105379	ZNF766	eGFP-ZNF766	-	-	-	GSE105379_eGFP-ZNF766	GSE105379_ZNF766
GSE105380	ZNF704	eGFP-ZNF704	-	-	-	GSE105380_eGFP-ZNF704	GSE105380_ZNF704
GSE105382	LEF1	LEF1	-	-	-	GSE105382_LEF1	GSE105382_LEF1
GSE105383	CTCF	CTCF	-	-	-	GSE105383_CTCF	GSE105383_CTCF
GSE105384	EP300	EP300	-	-	-	GSE105384_EP300	GSE105384_EP300
GSE105385	RAD21	RAD21	-	-	-	GSE105385_RAD21	GSE105385_RAD21
GSE105386	ZFX	ZFX	-	-	-	GSE105386_ZFX	GSE105386_ZFX
GSE105388	NFRKB	NFRKB	-	-	-	GSE105388_NFRKB	GSE105388_NFRKB
GSE105389	ZNF592	ZNF592	-	-	-	GSE105389_ZNF592	GSE105389_ZNF592
GSE105391	CTCF	CTCF	-	-	-	GSE105391_CTCF	GSE105391_CTCF
GSE105392	ZSCAN21	eGFP-ZSCAN21	-	-	-	GSE105392_eGFP-ZSCAN21	GSE105392_ZSCAN21
GSE105396	ZNF83	eGFP-ZNF83	-	-	-	GSE105396_eGFP-ZNF83	GSE105396_ZNF83
GSE105397	SFPQ	SFPQ	-	-	-	GSE105397_SFPQ	GSE105397_SFPQ
GSE105400	THRA	THRA	-	-	-	GSE105400_THRA	GSE105400_THRA
GSE105403	CTCF	CTCF	-	-	-	GSE105403_CTCF	GSE105403_CTCF
GSE105404	CTCF	CTCF	-	-	-	GSE105404_CTCF	GSE105404_CTCF
GSE105407	KLF4	eGFP-KLF4	-	-	-	GSE105407_eGFP-KLF4	GSE105407_KLF4
GSE105410	POLR2A	POLR2A	-	-	-	GSE105410_POLR2A	GSE105410_POLR2A
GSE105412	EP300	EP300	-	-	-	GSE105412_EP300	GSE105412_EP300
GSE105415	ZNF776	eGFP-ZNF776	-	-	-	GSE105415_eGFP-ZNF776	GSE105415_ZNF776
GSE105418	ZBTB7B	ZBTB7B	-	-	-	GSE105418_ZBTB7B	GSE105418_ZBTB7B
GSE105421	ZC3H11A	ZC3H11A	-	-	-	GSE105421_ZC3H11A	GSE105421_ZC3H11A
GSE105428	ZNF133	eGFP-ZNF133	-	-	-	GSE105428_eGFP-ZNF133	GSE105428_ZNF133
GSE105430	POLR2A	POLR2A	-	-	-	GSE105430_POLR2A	GSE105430_POLR2A
GSE105431	GABPA	eGFP-GABPA	-	-	-	GSE105431_eGFP-GABPA	GSE105431_GABPa
GSE105433	EP300	EP300	-	-	-	GSE105433_EP300	GSE105433_EP300
GSE105435	ZNF777	eGFP-ZNF777	-	-	-	GSE105435_eGFP-ZNF777	GSE105435_ZNF777
GSE105438	HNRNPUL1	HNRNPUL1	-	-	-	GSE105438_HNRNPUL1	GSE105438_HNRNPUL1
GSE105440	HNF4G	HNF4G	-	-	-	GSE105440_HNF4G	GSE105440_HNF4G
GSE105441	POLR2A	POLR2A	-	-	-	GSE105441_POLR2A	GSE105441_POLR2A
GSE105460	EP300	EP300	-	-	-	GSE105460_EP300	GSE105460_EP300
GSE105462	POLR2A	POLR2A	-	-	-	GSE105462_POLR2A	GSE105462_POLR2A
GSE105463	EP300	EP300	-	-	-	GSE105463_EP300	GSE105463_EP300
GSE105464	ZNF589	eGFP-ZNF589	-	-	-	GSE105464_eGFP-ZNF589	GSE105464_ZNF589
GSE105467	CTCF	CTCF	-	-	-	GSE105467_CTCF	GSE105467_CTCF
GSE105468	CTCF	CTCF	-	-	-	GSE105468_CTCF	GSE105468_CTCF
GSE105469	POLR2A	POLR2A	-	-	-	GSE105469_POLR2A	GSE105469_POLR2A
GSE105470	POLR2A	POLR2A	-	-	-	GSE105470_POLR2A	GSE105470_POLR2A
GSE105472	CTCF	CTCF	-	-	-	GSE105472_CTCF	GSE105472_CTCF
GSE105474	ZNF416	eGFP-ZNF416	-	-	-	GSE105474_eGFP-ZNF416	GSE105474_ZNF416
GSE105475	ZSCAN26	eGFP-ZSCAN26	-	-	-	GSE105475_eGFP-ZSCAN26	GSE105475_ZSCAN26
GSE105476	CTCF	CTCF	-	-	-	GSE105476_CTCF	GSE105476_CTCF
GSE105477	CTCF	CTCF	-	-	-	GSE105477_CTCF	GSE105477_CTCF
GSE105479	ZSCAN29	ZSCAN29	-	-	-	GSE105479_ZSCAN29	GSE105479_ZSCAN29
GSE105481	POLR2A	POLR2A	-	-	-	GSE105481_POLR2A	GSE105481_POLR2A
GSE105482	ZBTB1	ZBTB1	-	-	-	GSE105482_ZBTB1	GSE105482_ZBTB1
GSE105483	POLR2A	POLR2A	-	-	-	GSE105483_POLR2A	GSE105483_POLR2A
GSE105484	POLR2A	POLR2A	-	-	-	GSE105484_POLR2A	GSE105484_POLR2A
GSE105485	ZNF843	eGFP-ZNF843	-	-	-	GSE105485_eGFP-ZNF843	GSE105485_ZNF843
GSE105487	FOXA2	FOXA2	-	-	-	GSE105487_FOXA2	GSE105487_FOXA2
GSE105490	RNF2	RNF2	-	-	-	GSE105490_RNF2	GSE105490_RNF2
GSE105493	NONO	NONO	-	-	-	GSE105493_NONO	GSE105493_NONO
GSE105494	EP300	EP300	-	-	-	GSE105494_EP300	GSE105494_EP300
GSE105495	POLR2A	POLR2A	-	-	-	GSE105495_POLR2A	GSE105495_POLR2A
GSE105497	HNRNPL	HNRNPL	-	-	-	GSE105497_HNRNPL	GSE105497_HNRNPL
GSE105498	NFXL1	NFXL1	-	-	-	GSE105498_NFXL1	GSE105498_NFXL1
GSE105499	ARNT	ARNT	-	-	-	GSE105499_ARNT	GSE105499_ARNT
GSE105500	CTCF	CTCF	-	-	-	GSE105500_CTCF	GSE105500_CTCF
GSE105503	ELF1	ELF1	-	-	-	GSE105503_ELF1	GSE105503_ELF1
GSE105504	RCOR1	RCOR1	-	-	-	GSE105504_RCOR1	GSE105504_RCOR1
GSE105505	ZNF524	eGFP-ZNF524	-	-	-	GSE105505_eGFP-ZNF524	GSE105505_ZNF524
GSE105506	ZBTB21	eGFP-ZBTB21	-	-	-	GSE105506_eGFP-ZBTB21	GSE105506_ZBTB21
GSE105507	CTCF	CTCF	-	-	-	GSE105507_CTCF	GSE105507_CTCF
GSE105509	POLR2A	POLR2A	-	-	-	GSE105509_POLR2A	GSE105509_POLR2A
GSE105510	CTCF	CTCF	-	-	-	GSE105510_CTCF	GSE105510_CTCF
GSE105512	CTCF	CTCF	-	-	-	GSE105512_CTCF	GSE105512_CTCF
GSE105516	ZNF571	eGFP-ZNF571	-	-	-	GSE105516_eGFP-ZNF571	GSE105516_ZNF571
GSE105517	DDX20	DDX20	-	-	-	GSE105517_DDX20	GSE105517_DDX20
GSE105518	ZNF300	eGFP-ZNF300	-	-	-	GSE105518_eGFP-ZNF300	GSE105518_ZNF300
GSE105519	CTCF	CTCF	-	-	-	GSE105519_CTCF	GSE105519_CTCF
GSE105520	EP300	EP300	-	-	-	GSE105520_EP300	GSE105520_EP300
GSE105521	HDAC2	HDAC2	-	-	-	GSE105521_HDAC2	GSE105521_HDAC2
GSE105523	ZFX	ZFX	-	-	-	GSE105523_ZFX	GSE105523_ZFX
GSE105524	FOXM1	FOXM1	-	-	-	GSE105524_FOXM1	GSE105524_FOXM1
GSE105525	CREB1	CREB1	-	-	-	GSE105525_CREB1	GSE105525_CREB1
GSE105526	SKIL	SKIL	-	-	-	GSE105526_SKIL	GSE105526_SKIL
GSE105528	POLR2A	POLR2A	-	-	-	GSE105528_POLR2A	GSE105528_POLR2A
GSE105530	TARDBP	TARDBP	-	-	-	GSE105530_TARDBP	GSE105530_TARDBP
GSE105531	ZNF24	ZNF24	-	-	-	GSE105531_ZNF24	GSE105531_ZNF24
GSE105532	CEBPG	eGFP-CEBPG	-	-	-	GSE105532_eGFP-CEBPG	GSE105532_CEBPG
GSE105535	CTCF	CTCF	-	-	-	GSE105535_CTCF	GSE105535_CTCF
GSE105536	E2F4	eGFP-E2F4	-	-	-	GSE105536_eGFP-E2F4	GSE105536_E2F4
GSE105537	POLR2A	POLR2A	-	-	-	GSE105537_POLR2A	GSE105537_POLR2A
GSE105538	ZFHX2	eGFP-ZFHX2	-	-	-	GSE105538_eGFP-ZFHX2	GSE105538_ZFHX2
GSE105540	ZNF248	eGFP-ZNF248	-	-	-	GSE105540_eGFP-ZNF248	GSE105540_ZNF248
GSE105541	EP300	EP300	-	-	-	GSE105541_EP300	GSE105541_EP300
GSE105542	TRIM22	TRIM22	-	-	-	GSE105542_TRIM22	GSE105542_TRIM22
GSE105543	CTCF	CTCF	-	-	-	GSE105543_CTCF	GSE105543_CTCF
GSE105546	SMARCE1	SMARCE1	-	-	-	GSE105546_SMARCE1	GSE105546_SMARCE1
GSE105547	BACH1	BACH1	-	-	-	GSE105547_BACH1	GSE105547_BACH1
GSE105549	POLR2A	POLR2A	-	-	-	GSE105549_POLR2A	GSE105549_POLR2A
GSE105550	BCLAF1	BCLAF1	-	-	-	GSE105550_BCLAF1	GSE105550_BCLAF1
GSE105551	EP300	EP300	-	-	-	GSE105551_EP300	GSE105551_EP300
GSE105552	POLR2A	POLR2A	-	-	-	GSE105552_POLR2A	GSE105552_POLR2A
GSE105553	CC2D1A	CC2D1A	-	-	-	GSE105553_CC2D1A	GSE105553_CC2D1A
GSE105554	CTCF	CTCF	-	-	-	GSE105554_CTCF	GSE105554_CTCF
GSE105555	ELF4	ELF4	-	-	-	GSE105555_ELF4	GSE105555_ELF4
GSE105558	PPP1R10	PPP1R10	-	-	-	GSE105558_PPP1R10	GSE105558_PPP1R10
GSE105559	EP300	EP300	-	-	-	GSE105559_EP300	GSE105559_EP300
GSE105560	AGO1	AGO1	-	-	-	GSE105560_AGO1	GSE105560_AGO1
GSE105562	ZFX	ZFX	-	-	-	GSE105562_ZFX	GSE105562_ZFX
GSE105565	SFPQ	SFPQ	-	-	-	GSE105565_SFPQ	GSE105565_SFPQ
GSE105567	ZNF629	eGFP-ZNF629	-	-	-	GSE105567_eGFP-ZNF629	GSE105567_ZNF629
GSE105568	DPF2	DPF2	-	-	-	GSE105568_DPF2	GSE105568_DPF2
GSE105569	CTCF	CTCF	-	-	-	GSE105569_CTCF	GSE105569_CTCF
GSE105573	ADNP	eGFP-ADNP	-	-	-	GSE105573_eGFP-ADNP	GSE105573_ADNP
GSE105574	SNIP1	SNIP1	-	-	-	GSE105574_SNIP1	GSE105574_SNIP1
GSE105575	CTCF	CTCF	-	-	-	GSE105575_CTCF	GSE105575_CTCF
GSE105576	RBM22	RBM22	-	-	-	GSE105576_RBM22	GSE105576_RBM22
GSE105577	USF2	eGFP-USF2	-	-	-	GSE105577_eGFP-USF2	GSE105577_USF2
GSE105578	MNT	MNT	-	-	-	GSE105578_MNT	GSE105578_MNT
GSE105579	EP300	EP300	-	-	-	GSE105579_EP300	GSE105579_EP300
GSE105581	RBAK	eGFP-RBAK	-	-	-	GSE105581_eGFP-RBAK	GSE105581_RBAK
GSE105582	SIN3B	SIN3B	-	-	-	GSE105582_SIN3B	GSE105582_SIN3B
GSE105583	ZNF302	eGFP-ZNF302	-	-	-	GSE105583_eGFP-ZNF302	GSE105583_ZNF302
GSE105584	USF2	USF2	-	-	-	GSE105584_USF2	GSE105584_USF2
GSE105585	ZNF24	ZNF24	-	-	-	GSE105585_ZNF24	GSE105585_ZNF24
GSE105586	LARP7	LARP7	-	-	-	GSE105586_LARP7	GSE105586_LARP7
GSE105587	IKZF1	IKZF1	-	-	-	GSE105587_IKZF1	GSE105587_IKZF1
GSE105588	BRD4	BRD4	-	-	-	GSE105588_BRD4	GSE105588_BRD4
GSE105589	ZNF211	eGFP-ZNF211	-	-	-	GSE105589_eGFP-ZNF211	GSE105589_ZNF211
GSE105591	POLR2A	POLR2A	-	-	-	GSE105591_POLR2A	GSE105591_POLR2A
GSE105594	CTCF	CTCF	-	-	-	GSE105594_CTCF	GSE105594_CTCF
GSE105597	RAD51	RAD51	-	-	-	GSE105597_RAD51	GSE105597_RAD51
GSE105598	GTF2F1	GTF2F1	-	-	-	GSE105598_GTF2F1	GSE105598_GTF2F1
GSE105599	TOE1	TOE1	-	-	-	GSE105599_TOE1	GSE105599_TOE1
GSE105601	NR2F1	NR2F1	-	-	-	GSE105601_NR2F1	GSE105601_NR2F1
GSE105604	Rel-B	RELB	-	-	-	GSE105604_RELB	GSE105604_Rel-B
GSE105606	ZKSCAN8	eGFP-ZKSCAN8	-	-	-	GSE105606_eGFP-ZKSCAN8	GSE105606_ZKSCAN8
GSE105607	ZNF169	eGFP-ZNF169	-	-	-	GSE105607_eGFP-ZNF169	GSE105607_ZNF169
GSE105608	CTCF	CTCF	-	-	-	GSE105608_CTCF	GSE105608_CTCF
GSE105609	CTCF	CTCF	-	-	-	GSE105609_CTCF	GSE105609_CTCF
GSE105610	CTCF	CTCF	-	-	-	GSE105610_CTCF	GSE105610_CTCF
GSE105612	MNT	MNT	-	-	-	GSE105612_MNT	GSE105612_MNT
GSE105613	ZNF174	eGFP-ZNF174	-	-	-	GSE105613_eGFP-ZNF174	GSE105613_ZNF174
GSE105614	CTCF	CTCF	-	-	-	GSE105614_CTCF	GSE105614_CTCF
GSE105620	ZNF521	eGFP-ZNF521	-	-	-	GSE105620_eGFP-ZNF521	GSE105620_ZNF521
GSE105622	ZNF48	eGFP-ZNF48	-	-	-	GSE105622_eGFP-ZNF48	GSE105622_ZNF48
GSE105623	POLR2A	POLR2A	-	-	-	GSE105623_POLR2A	GSE105623_POLR2A
GSE105624	POLR2A	POLR2A	-	-	-	GSE105624_POLR2A	GSE105624_POLR2A
GSE105626	ZNF404	eGFP-ZNF404	-	-	-	GSE105626_eGFP-ZNF404	GSE105626_ZNF404
GSE105628	CTCF	CTCF	-	-	-	GSE105628_CTCF	GSE105628_CTCF
GSE105629	CTCF	CTCF	-	-	-	GSE105629_CTCF	GSE105629_CTCF
GSE105630	CTCF	CTCF	-	-	-	GSE105630_CTCF	GSE105630_CTCF
GSE105635	NFATc3	NFATC3	-	-	-	GSE105635_NFATC3	GSE105635_NFATc3
GSE105636	HDGF	HDGF	-	-	-	GSE105636_HDGF	GSE105636_HDGF
GSE105638	RB1	RB1	-	-	-	GSE105638_RB1	GSE105638_RB1
GSE105640	EP300	EP300	-	-	-	GSE105640_EP300	GSE105640_EP300
GSE105642	ZBTB20	eGFP-ZBTB20	-	-	-	GSE105642_eGFP-ZBTB20	GSE105642_ZBTB20
GSE105643	GTF2E2	eGFP-GTF2E2	-	-	-	GSE105643_eGFP-GTF2E2	GSE105643_GTF2E2
GSE105645	KLF16	eGFP-KLF16	-	-	-	GSE105645_eGFP-KLF16	GSE105645_KLF16
GSE105647	BCL6B	eGFP-BCL6B	-	-	-	GSE105647_eGFP-BCL6B	GSE105647_BCL6B
GSE105648	CTCF	CTCF	-	-	-	GSE105648_CTCF	GSE105648_CTCF
GSE105650	ZNF195	eGFP-ZNF195	-	-	-	GSE105650_eGFP-ZNF195	GSE105650_ZNF195
GSE105652	MNT	MNT	-	-	-	GSE105652_MNT	GSE105652_MNT
GSE105653	POLR2A	POLR2A	-	-	-	GSE105653_POLR2A	GSE105653_POLR2A
GSE105655	SRSF1	SRSF1	-	-	-	GSE105655_SRSF1	GSE105655_SRSF1
GSE105656	ZNF354B	eGFP-ZNF354B	-	-	-	GSE105656_eGFP-ZNF354B	GSE105656_ZNF354B
GSE105659	ZNF560	eGFP-ZNF560	-	-	-	GSE105659_eGFP-ZNF560	GSE105659_ZNF560
GSE105661	ZNF398	eGFP-ZNF398	-	-	-	GSE105661_eGFP-ZNF398	GSE105661_ZNF398
GSE105662	ZNF217	ZNF217	-	-	-	GSE105662_ZNF217	GSE105662_ZNF217
GSE105663	EP300	EP300	-	-	-	GSE105663_EP300	GSE105663_EP300
GSE105665	SOX6	SOX6	-	-	-	GSE105665_SOX6	GSE105665_SOX6
GSE105666	ZNF23	eGFP-ZNF23	-	-	-	GSE105666_eGFP-ZNF23	GSE105666_ZNF23
GSE105667	POLR2A	POLR2A	-	-	-	GSE105667_POLR2A	GSE105667_POLR2A
GSE105669	ZNF266	eGFP-ZNF266	-	-	-	GSE105669_eGFP-ZNF266	GSE105669_ZNF266
GSE105670	CTCF	CTCF	-	-	-	GSE105670_CTCF	GSE105670_CTCF
GSE105671	IKZF2	IKZF2	-	-	-	GSE105671_IKZF2	GSE105671_IKZF2
GSE105672	EP300	EP300	-	-	-	GSE105672_EP300	GSE105672_EP300
GSE105673	POLR2A	POLR2A	-	-	-	GSE105673_POLR2A	GSE105673_POLR2A
GSE105675	ATF7	ATF7	-	-	-	GSE105675_ATF7	GSE105675_ATF7
GSE105677	ELF1	eGFP-ELF1	-	-	-	GSE105677_eGFP-ELF1	GSE105677_ELF1
GSE105678	KHSRP	KHSRP	-	-	-	GSE105678_KHSRP	GSE105678_KHSRP
GSE105679	ZNF184	ZNF184	-	-	-	GSE105679_ZNF184	GSE105679_ZNF184
GSE105680	FOSL2	eGFP-FOSL2	-	-	-	GSE105680_eGFP-FOSL2	GSE105680_FOSL2
GSE105681	NCOA3	NCOA3	-	-	-	GSE105681_NCOA3	GSE105681_NCOA3
GSE105684	NONO	NONO	-	-	-	GSE105684_NONO	GSE105684_NONO
GSE105685	U2AF1	U2AF1	-	-	-	GSE105685_U2AF1	GSE105685_U2AF1
GSE105686	GATAD2B	GATAD2B	-	-	-	GSE105686_GATAD2B	GSE105686_GATAD2B
GSE105687	POLR2A	POLR2A	-	-	-	GSE105687_POLR2A	GSE105687_POLR2A
GSE105688	U2AF2	U2AF2	-	-	-	GSE105688_U2AF2	GSE105688_U2AF2
GSE105690	CTCF	CTCF	-	-	-	GSE105690_CTCF	GSE105690_CTCF
GSE105691	YY2	eGFP-YY2	-	-	-	GSE105691_eGFP-YY2	GSE105691_YY2
GSE105692	ZNF701	eGFP-ZNF701	-	-	-	GSE105692_eGFP-ZNF701	GSE105692_ZNF701
GSE105693	CTCF	CTCF	-	-	-	GSE105693_CTCF	GSE105693_CTCF
GSE105695	CTCF	CTCF	-	-	-	GSE105695_CTCF	GSE105695_CTCF
GSE105698	ZNF24	ZNF24	-	-	-	GSE105698_ZNF24	GSE105698_ZNF24
GSE105699	RAD51	RAD51	-	-	-	GSE105699_RAD51	GSE105699_RAD51
GSE105700	POLR2A	POLR2A	-	-	-	GSE105700_POLR2A	GSE105700_POLR2A
GSE105703	CTCF	CTCF	-	-	-	GSE105703_CTCF	GSE105703_CTCF
GSE105704	EP300	EP300	-	-	-	GSE105704_EP300	GSE105704_EP300
GSE105705	CTCF	CTCF	-	-	-	GSE105705_CTCF	GSE105705_CTCF
GSE105706	CBFA2T3	CBFA2T3	-	-	-	GSE105706_CBFA2T3	GSE105706_CBFA2T3
GSE105707	CTCF	CTCF	-	-	-	GSE105707_CTCF	GSE105707_CTCF
